SRA sample ID,SRA number,Sequencing Platform,Age (years),Accuracy of birth date,Ordinal rank,Sex,Body Mass Index (kg/m2),Age-adjusted BMI,Cumulative Early Adversity Score,Dyadic Social Connectedness (F to F),Depth (millions of reads sequenced),Bisulfite conversion rate,Predicted epigenetic age (years) from n=277 model,Predicted epigenetic age (years) from n=286 model
AMB_47,SRP058411,HiSeq 2000,3.6331,Within < 1 week,19,M,30.52077625,2.798651154,1,NA,40.487237,0.998514909,3.50211429,3.735919892
AMB_256,PRJNA648767,HiSeq 4000,6.7105,Within < 1 week,NA,M,48.93187744,7.016207402,1,NA,12.830998,0.998064287,6.207294922,5.60215941
AMB_257,PRJNA648767,HiSeq 4000,6.5325,Within < 1 week,NA,M,38.32156047,-2.773308482,2,NA,45.626144,0.995047196,5.538708625,5.715506006
AMB_258,PRJNA648767,HiSeq 4000,16.1643,Within < 1 week,5,F,33.62110974,-2.474493657,0,1.766020621,13.235078,0.998144126,11.22726233,11.60870782
AMB_259,PRJNA648767,HiSeq 4000,6.8255,Within < 1 week,NA,F,NA,NA,0,NA,5.270729,0.998435489,10.20350183,10.40900824
AMB_260,PRJNA648767,HiSeq 4000,8.3532,Within < 1 week,4,M,47.86795937,0.83360106,1,NA,9.275125,0.998288649,10.08781766,9.974936732
AMB_261,PRJNA648767,HiSeq 4000,4.9418,Within < 1 week,5,F,35.18985631,1.792443619,0,1.301667853,8.595355,0.99818565,7.562506769,7.710200974
AMB_262,PRJNA648767,HiSeq 4000,7.3429,Within < 1 week,NA,F,NA,NA,1,NA,16.071264,0.998027423,8.217331114,8.193666483
AMB_68,SRP058411,HiSeq 2000,2.9158,Within < 1 week,NA,F,27.45803932,1.006991577,0,NA,19.078343,0.999537466,1.970508213,1.670469078
AMB_263,PRJNA648767,HiSeq 4000,7.6934,Within < 1 week,NA,M,54.16210757,7.713089987,1,NA,19.700588,0.998031772,8.826982802,8.836977355
AMB_264,PRJNA648767,HiSeq 4000,7.0089,Within < 1 week,10,M,45.44106231,2.148971987,1,NA,19.37896,0.99809641,6.158591294,6.269980701
AMB_265,PRJNA648767,HiSeq 4000,6.5626,Within < 1 week,6,F,32.19786552,-3.179394927,0,1.277461804,13.999697,0.998096397,8.858996426,8.938543715
AMB_265_B,PRJNA648767,HiSeq 4000,13.7495,Within < 1 week,6,F,NA,NA,0,1.128488615,13.667745,0.997878657,11.92364751,12.22652399
AMB_266,PRJNA648767,HiSeq 4000,9.9357,Within < 1 week,NA,F,NA,NA,NA,NA,19.633962,0.997864955,8.316552396,7.995010139
AMB_267,PRJNA648767,HiSeq 4000,6.9514,Within < 1 week,2,F,33.53824754,-1.868098933,0,1.421760107,12.14458,0.998097566,7.581553629,7.801531768
AMB_268,PRJNA648767,HiSeq 4000,7.1622,Within < 1 week,3,F,NA,NA,2,1.235731688,10.540435,0.998318549,7.83963616,7.687670758
AMB_268_B,PRJNA648767,HiSeq 4000,18.2341,Within < 1 week,6,F,35.0888608,-1.161594973,2,1.134034835,11.937263,0.997727339,10.97569505,11.55018694
AMB_269,PRJNA648767,HiSeq 4000,8.1232,Within < 1 week,30,F,NA,NA,1,0.809144104,12.349071,0.99829989,8.719236678,8.519552738
AMB_48,SRP058411,HiSeq 2000,10.6092,Within < 1 week,NA,M,45.13643905,-1.63325608,2,NA,19.762736,0.998505935,9.947307735,9.732205991
AMB_49,SRP058411,HiSeq 2000,11.8467,Within < 1 week,NA,M,46.18889044,-0.435625363,0,NA,38.845618,0.998080332,11.24945999,11.14844897
AMB_270,PRJNA648767,HiSeq 4000,7.039,Within < 1 week,19,M,50.34963777,6.918642652,1,NA,15.0949,0.999293833,7.11892653,7.305074179
AMB_271,PRJNA648767,HiSeq 4000,5.4702,Within < 1 week,NA,F,NA,NA,0,NA,15.050662,0.998018612,6.21327385,5.925750577
AMB_272,PRJNA648767,HiSeq 4000,7.2745,Within < 1 week,8,M,46.81610792,2.299129816,1,NA,16.383501,0.997956631,7.478153842,7.5481689
AMB_69,SRP058411,HiSeq 2000,7.5729,Within < 1 week,11,M,49.97634155,4.082943171,0,NA,23.7215,0.99813423,9.398899165,9.10848381
AMB_69_B,PRJNA648767,HiSeq 4000,10.7269,Within < 1 week,5,M,48.08544725,1.329563428,0,NA,8.759865,0.998300717,10.92901161,10.51204247
AMB_273,PRJNA648767,HiSeq 4000,8.7091,Within < 1 week,10,F,31.84040129,-3.697446795,1,1.084671394,13.74009,0.998190181,8.411824406,8.258766255
AMB_274,PRJNA648767,HiSeq 4000,11.989,Within < 1 week,NA,M,NA,NA,1,NA,11.313576,0.996742313,14.29304973,14.72344828
AMB_275,PRJNA648767,HiSeq 4000,6.245,Within < 1 week,9,M,35.20745238,-4.561507122,1,NA,13.358564,0.997830162,6.786592197,6.44713849
AMB_276,PRJNA648767,HiSeq 4000,6.3436,Within < 1 week,11,F,38.12262414,2.761750196,2,1.537543194,23.705414,0.996595377,9.751310427,9.799876917
AMB_277,PRJNA648767,HiSeq 4000,7.4579,Within < 1 week,17,F,39.25696128,3.812721046,1,0.527287362,14.552851,0.998232392,7.680296507,8.25992062
AMB_278,PRJNA648767,HiSeq 4000,6.7461,Within < 1 week,9,M,37.80179973,-4.278030523,0,NA,13.812922,0.997985384,8.237874551,8.699076987
AMB_278_B,PRJNA648767,HiSeq 4000,10.5654,Within < 1 week,3,M,NA,NA,0,NA,10.623988,0.999288498,11.15813489,10.86695722
AMB_279,PRJNA648767,HiSeq 4000,10.9541,Within < 1 week,18,F,37.26133636,1.555526706,1,0.050323246,19.774714,0.999303169,11.8248761,11.55757932
AMB_280,PRJNA648767,HiSeq 4000,6.6283,Within < 1 week,NA,M,38.38183892,-3.154999848,2,NA,19.578879,0.99808193,7.55749261,7.281712662
AMB_281,PRJNA648767,HiSeq 4000,18.9541,Within 3 months,14,M,43.5821281,NA,NA,NA,20.494718,0.998080724,NA,15.02395419
AMB_282_B,PRJNA648767,HiSeq 4000,11.2854,Within < 1 week,7,M,53.93766682,NA,NA,NA,13.460384,0.997918002,NA,11.01774288
AMB_282,PRJNA648767,HiSeq 4000,13.7604,Within < 1 week,NA,M,48.46588841,NA,NA,NA,9.80632,0.99791479,NA,12.67007042
AMB_77_B,PRJNA648767,HiSeq 4000,8.5448,Within < 1 week,1,M,48.92772137,NA,0,NA,11.554587,0.997916844,NA,9.506637983
AMB_152_B,PRJNA648767,HiSeq 4000,14.193,Within < 1 week,6,M,43.85457458,NA,3,NA,11.906282,0.998012382,NA,10.1437496
AMB_283,PRJNA648767,HiSeq 4000,9.8453,Within < 1 week,3,M,51.64799666,NA,NA,NA,10.739155,0.998153871,NA,9.706309629
AMB_283_B,PRJNA648767,HiSeq 4000,14.0726,Within 3 months,8,M,45.6412216,NA,NA,NA,10.261578,0.998017713,NA,10.32933133
AMB_230_B,PRJNA648767,HiSeq 4000,9.7276,Within 3 months,1,M,57.63227407,NA,0,NA,8.270177,0.998168806,NA,10.8050398
AMB_69_C,PRJNA648767,HiSeq 4000,14.5298,Within < 1 week,5,M,NA,NA,0,NA,6.36946,0.99796623,NA,11.31330553
